epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,0.6262351719159929,0.6455048616305161,0.0836886755885586,0.6019734106957912,0.6730177402496338,1.0,0.3434886932373047,0.3269822895526886,0.4139799177646637,0.21935598859927588,0.001,15.4
2,0.5847086357691932,0.6895736724008975,0.06970030004306445,0.5782046318054199,0.6958131194114685,1.0,0.39014530181884766,0.3041868805885315,0.4697880744934082,0.24685199042409448,0.001,16.35
3,0.5690471302895319,0.7020942408376963,0.08094121226006085,0.5704906694591045,0.6998974084854126,1.0,0.39859825372695923,0.3001026213169098,0.4816240966320038,0.2517949997162078,0.001,14.88
4,0.5642914365208338,0.7051558214909001,0.07899834428514753,0.5676600523293018,0.7004808783531189,1.0,0.39903953671455383,0.2995191514492035,0.46682122349739075,0.251694597278045,0.001,14.61
5,0.5626856864444794,0.7064372974320619,0.09174443485717924,0.5684593506157398,0.6995151042938232,1.0,0.39870786666870117,0.30048486590385437,0.4797716438770294,0.2522799455153017,0.001,13.73
6,0.5616569689341954,0.70698578908003,0.0898522732868081,0.5673125833272934,0.7022715210914612,1.0,0.4037652015686035,0.2977285087108612,0.49898505210876465,0.25492602127566627,0.001,14.14
7,0.5605299964783683,0.7073846920967339,0.08206085760205512,0.5656427964568138,0.7016276717185974,1.0,0.4016757607460022,0.2983723282814026,0.4768204689025879,0.25335112268259014,0.001,13.84
8,0.5599185966310047,0.7082523061580653,0.08623285006199564,0.5664034448564053,0.7016276717185974,1.0,0.4019065797328949,0.2983723282814026,0.48296457529067993,0.25359443017347455,0.001,14.87
9,0.5589728639239356,0.7085564697083022,0.08143937280253759,0.5654709301888943,0.7029555439949036,1.0,0.40480321645736694,0.29704445600509644,0.4913375973701477,0.2553493494271702,0.001,14.3
10,0.5583877109345936,0.7097033158813264,0.08500740198152405,0.5658653900027275,0.7028952240943909,1.0,0.40459612011909485,0.2971048057079315,0.4880320727825165,0.255189754932093,0.001,13.88
11,0.5578507639112926,0.7090201944652207,0.09073130804158393,0.565900906920433,0.7028952240943909,1.0,0.4042567014694214,0.2971048057079315,0.4814741313457489,0.25483050687747755,0.001,15.32
12,0.5574994134524512,0.7091398653702319,0.08921394331587686,0.5655515976250172,0.7033177018165588,1.0,0.4055861830711365,0.29668229818344116,0.49231773614883423,0.25582032677737887,0.001,14.62
13,0.5565886488036503,0.7097232610321615,0.08067869371364987,0.5652614943683147,0.7017081379890442,1.0,0.4024154543876648,0.2982918620109558,0.4923100173473358,0.2540527104618848,0.001,16.56
14,0.556527296702067,0.7099326851159312,0.08702025586177432,0.5655503161251545,0.702573299407959,1.0,0.403140127658844,0.297426700592041,0.4686974883079529,0.2539684058337514,0.001,16.38
15,0.5558530782896375,0.7095786586886064,0.08757460537174391,0.5649412274360657,0.703438401222229,1.0,0.4052233397960663,0.2965615689754486,0.47775036096572876,0.2553160716100215,0.001,15.85
